iter	RMSE
0	4488.760937
1	4399.878609
2	4313.32933
3	4231.649375
4	4153.879144
5	4074.684502
6	3997.206683
7	3925.792561
8	3854.525752
9	3788.572437
10	3720.669674
11	3656.388029
12	3593.388389
13	3533.030319
14	3473.175621
15	3418.18851
16	3363.76994
17	3311.94955
18	3261.248652
19	3213.331673
20	3166.504108
21	3122.755161
22	3078.570917
23	3038.70302
24	2998.57242
25	2959.665472
26	2924.39629
27	2889.212387
28	2855.501737
29	2821.615709
30	2787.237758
31	2754.515274
32	2723.551206
33	2691.912584
34	2660.89396
35	2633.655518
36	2605.660499
37	2580.745851
38	2555.266353
39	2530.107609
40	2506.936736
41	2483.264239
42	2460.783127
43	2438.974192
44	2418.654209
45	2399.006784
46	2380.028262
47	2362.689417
48	2345.381843
49	2328.255257
50	2310.433258
51	2295.035185
52	2279.078742
53	2264.654932
54	2250.641047
55	2236.99066
56	2223.720795
57	2210.820078
58	2198.498401
59	2187.06414
60	2176.036217
61	2165.387513
62	2155.204651
63	2144.408767
64	2132.804795
65	2122.396208
66	2112.00113
67	2102.00069
68	2092.277872
69	2083.486945
70	2076.084075
71	2067.207765
72	2059.150792
73	2051.107762
74	2044.361766
75	2037.904406
76	2031.123768
77	2024.117484
78	2017.44327
79	2011.08345
80	2004.272909
81	1997.546276
82	1991.40908
83	1986.214445
84	1980.404588
85	1975.031388
86	1969.606386
87	1964.552605
88	1959.573925
89	1954.706398
90	1950.188793
91	1945.478018
92	1941.194501
93	1937.58045
94	1932.888838
95	1928.175603
96	1924.717341
97	1920.811441
98	1917.445063
99	1913.31663
100	1909.99104
101	1906.485377
102	1902.864685
103	1899.364486
104	1896.44036
105	1893.203299
106	1890.060635
107	1887.525494
108	1884.920265
109	1882.060178
110	1879.531927
111	1877.426277
112	1875.247458
113	1872.96765
114	1870.472144
115	1867.862389
116	1865.725775
117	1863.410243
118	1861.360571
119	1859.34428
120	1857.46592
121	1855.762251
122	1854.222248
123	1852.429537
124	1850.941643
125	1849.150337
126	1847.306277
127	1845.481072
128	1843.944699
129	1842.308954
130	1840.736458
131	1839.130388
132	1837.576419
133	1836.335791
134	1835.221938
135	1833.9778
136	1832.862615
137	1831.385773
138	1829.742872
139	1828.161442
140	1826.863519
141	1825.534768
142	1824.631955
143	1823.553976
144	1822.181627
145	1820.892858
146	1819.411925
147	1818.367981
148	1817.009368
149	1815.943896
150	1814.900844
151	1813.904994
152	1812.737795
153	1811.307142
154	1810.332374
155	1809.180369
156	1808.092397
157	1807.032408
158	1805.941177
159	1804.84811
160	1803.939341
161	1803.023042
162	1802.141334
163	1801.260374
164	1800.445192
165	1799.387019
166	1798.326014
167	1797.637754
168	1796.817201
169	1795.821493
170	1794.992101
171	1794.163388
172	1793.341943
173	1792.341523
174	1791.617178
175	1790.975537
176	1790.297142
177	1789.540096
178	1788.782304
179	1787.984253
180	1787.241308
181	1786.526786
182	1785.479114
183	1784.860155
184	1784.238823
185	1783.5988
186	1782.639757
187	1781.993328
188	1781.500687
189	1780.833111
190	1780.157344
191	1779.503221
192	1778.93402
193	1778.345994
194	1777.661832
195	1777.197987
196	1776.716431
197	1776.135613
198	1775.73669
199	1775.149447
200	1774.738009
201	1774.21915
202	1773.857529
203	1773.259183
204	1772.864826
205	1772.43669
206	1771.898725
207	1771.313458
208	1770.948749
209	1770.354738
210	1769.848492
211	1769.485573
212	1768.943008
213	1768.481565
214	1768.104537
215	1767.679333
216	1767.456344
217	1766.909152
218	1766.525487
219	1765.981031
220	1765.642265
221	1765.239663
222	1764.736448
223	1764.212637
224	1763.742372
225	1763.108075
226	1762.609805
227	1762.356351
228	1761.984558
229	1761.421426
230	1761.015234
231	1760.479979
232	1760.136905
233	1759.741367
234	1759.318104
235	1759.005129
236	1758.702964
237	1758.290224
238	1757.924569
239	1757.634388
240	1757.392645
241	1756.929996
242	1756.629526
243	1756.37022
244	1755.834501
245	1755.42434
246	1755.115971
247	1754.616242
248	1754.001018
249	1753.593055
250	1753.082891
251	1752.837353
252	1752.514349
253	1752.241432
254	1751.696784
255	1751.352114
256	1750.960198
257	1750.444629
258	1750.061975
259	1749.689192
260	1749.294694
261	1749.006263
262	1748.693442
263	1748.323548
264	1747.914253
265	1747.588682
266	1747.395236
267	1747.080878
268	1746.671334
269	1746.389525
270	1745.742432
271	1745.344325
272	1745.03347
273	1744.848972
274	1744.534938
275	1744.291879
276	1743.99024
277	1743.626845
278	1743.309384
279	1743.139921
280	1742.800938
281	1742.587515
282	1742.418057
283	1742.004054
284	1741.740515
285	1741.330634
286	1740.935314
287	1740.737127
288	1740.478375
289	1740.121315
290	1739.68774
291	1739.31358
292	1738.893096
293	1738.317537
294	1738.037928
295	1737.669328
296	1737.300818
297	1737.010216
298	1736.70723
299	1736.468006
300	1736.202479
301	1735.881176
302	1735.700199
303	1735.276824
304	1735.057059
305	1734.780063
306	1734.604706
307	1734.381643
308	1733.958051
309	1733.72288
310	1733.388275
311	1733.156855
312	1733.002173
313	1732.565856
314	1732.224423
315	1732.0245
316	1731.716174
317	1731.505018
318	1731.244434
319	1730.914762
320	1730.537914
321	1730.003599
322	1729.64596
323	1729.367134
324	1729.009864
325	1728.798799
326	1728.604264
327	1728.308753
328	1728.097663
329	1727.819253
330	1727.508925
331	1727.214648
332	1727.042963
333	1726.761168
334	1726.579351
335	1726.417114
336	1726.028366
337	1725.730355
338	1725.400888
339	1725.150341
340	1724.898715
341	1724.718358
342	1724.452206
343	1724.203636
344	1723.954881
345	1723.681429
346	1723.45868
347	1723.211273
348	1722.837502
349	1722.644995
350	1722.469835
351	1722.329069
352	1721.903873
353	1721.633617
354	1721.327192
355	1721.109274
356	1720.838152
357	1720.613185
358	1720.407828
359	1720.159774
360	1719.679518
361	1719.401336
362	1719.122459
363	1718.969461
364	1718.691709
365	1718.501738
366	1718.204531
367	1717.946182
368	1717.684445
369	1717.378445
370	1717.058146
371	1716.802227
372	1716.658997
373	1716.418287
374	1716.227192
375	1716.05853
376	1715.779305
377	1715.627046
378	1715.319083
379	1714.989417
380	1714.646777
381	1714.252173
382	1714.049067
383	1713.793738
384	1713.606959
385	1713.30265
386	1713.195804
387	1713.081858
388	1712.753547
389	1712.46654
390	1712.319108
391	1712.113646
392	1711.917606
393	1711.734044
394	1711.537498
395	1711.229381
396	1710.960471
397	1710.844331
398	1710.628049
399	1710.279243
400	1710.201915
401	1709.984932
402	1709.749801
403	1709.437207
404	1709.2276
405	1708.948962
406	1708.704807
407	1708.471838
408	1708.154743
409	1707.877549
410	1707.76311
411	1707.669401
412	1707.493385
413	1707.294694
414	1707.193146
415	1707.087732
416	1706.935847
417	1706.757701
418	1706.505731
419	1706.286162
420	1706.128357
421	1705.900946
422	1705.749105
423	1705.501758
424	1705.251919
425	1705.100426
426	1704.942079
427	1704.70512
428	1704.491829
429	1704.282593
430	1704.08685
431	1703.88766
432	1703.697677
433	1703.399669
434	1703.203023
435	1703.087765
436	1702.998253
437	1702.857003
438	1702.748391
439	1702.532192
440	1702.330021
441	1702.15508
442	1701.950965
443	1701.810403
444	1701.556347
445	1701.270365
446	1701.153362
447	1700.980511
448	1700.792749
449	1700.635306
450	1700.464148
451	1700.317535
452	1700.183257
453	1700.010519
454	1699.852235
455	1699.691438
456	1699.529449
457	1699.183061
458	1698.999795
459	1698.821842
460	1698.644763
461	1698.446334
462	1698.205147
463	1698.020722
464	1697.891598
465	1697.681128
466	1697.495721
467	1697.317983
468	1697.15553
469	1696.840229
470	1696.646111
471	1696.444004
472	1696.271916
473	1696.038278
474	1695.777737
475	1695.584923
476	1695.425737
477	1695.200179
478	1695.106412
479	1694.96297
480	1694.801757
481	1694.6412
482	1694.477615
483	1694.34292
484	1694.125551
485	1693.933044
486	1693.772561
487	1693.63359
488	1693.443128
489	1693.199545
490	1693.104097
491	1692.908824
492	1692.720949
493	1692.6183
494	1692.408968
495	1692.298529
496	1692.075247
497	1691.952225
498	1691.778212
499	1691.645078
