iter	Passed	Remaining
0	20	10426
1	41	10256
2	58	9635
3	75	9383
4	93	9226
5	112	9241
6	126	8939
7	140	8612
8	155	8492
9	171	8392
10	183	8145
11	198	8053
12	210	7882
13	221	7687
14	233	7550
15	245	7412
16	260	7395
17	275	7365
18	286	7264
19	298	7173
20	313	7155
21	324	7061
22	338	7010
23	350	6946
24	365	6939
25	378	6894
26	393	6889
27	403	6804
28	416	6758
29	427	6697
30	440	6662
31	450	6583
32	461	6526
33	471	6466
34	481	6397
35	493	6364
36	503	6302
37	514	6260
38	525	6208
39	535	6155
40	544	6097
41	555	6057
42	566	6021
43	577	5986
44	587	5942
45	597	5899
46	610	5886
47	623	5872
48	633	5829
49	646	5821
50	659	5803
51	671	5785
52	683	5764
53	694	5734
54	705	5710
55	715	5676
56	726	5650
57	734	5599
58	745	5575
59	756	5546
60	771	5552
61	782	5529
62	793	5506
63	805	5486
64	816	5463
65	829	5452
66	839	5422
67	849	5398
68	859	5369
69	874	5374
70	888	5368
71	897	5335
72	906	5301
73	914	5262
74	926	5248
75	938	5238
76	949	5218
77	961	5200
78	975	5200
79	988	5191
80	998	5166
81	1009	5146
82	1019	5123
83	1032	5113
84	1046	5107
85	1058	5096
86	1070	5079
87	1080	5056
88	1089	5030
89	1102	5024
90	1119	5030
91	1132	5022
92	1144	5008
93	1161	5016
94	1174	5006
95	1184	4985
96	1193	4956
97	1209	4961
98	1225	4962
99	1238	4955
100	1254	4957
101	1270	4959
102	1286	4960
103	1297	4940
104	1307	4917
105	1317	4895
106	1329	4884
107	1342	4873
108	1353	4856
109	1369	4856
110	1379	4835
111	1391	4821
112	1407	4820
113	1418	4803
114	1430	4789
115	1440	4769
116	1457	4769
117	1471	4762
118	1481	4744
119	1497	4742
120	1513	4739
121	1524	4723
122	1536	4709
123	1549	4699
124	1561	4683
125	1574	4672
126	1587	4661
127	1598	4644
128	1610	4632
129	1625	4626
130	1640	4621
131	1648	4595
132	1661	4584
133	1673	4571
134	1688	4564
135	1703	4560
136	1718	4553
137	1733	4547
138	1746	4534
139	1756	4516
140	1773	4515
141	1783	4496
142	1799	4492
143	1810	4476
144	1822	4461
145	1834	4447
146	1842	4425
147	1858	4419
148	1871	4407
149	1886	4401
150	1897	4385
151	1911	4377
152	1924	4365
153	1936	4349
154	1952	4345
155	1966	4335
156	1977	4320
157	1988	4304
158	2001	4292
159	2013	4277
160	2024	4263
161	2035	4246
162	2047	4233
163	2060	4222
164	2071	4205
165	2080	4186
166	2095	4179
167	2106	4163
168	2120	4154
169	2135	4146
170	2146	4128
171	2158	4117
172	2171	4104
173	2182	4088
174	2193	4073
175	2207	4063
176	2222	4054
177	2233	4041
178	2244	4025
179	2256	4012
180	2270	4001
181	2280	3984
182	2292	3971
183	2307	3962
184	2315	3943
185	2327	3929
186	2339	3915
187	2349	3899
188	2360	3884
189	2370	3866
190	2382	3854
191	2394	3841
192	2407	3829
193	2423	3822
194	2434	3808
195	2444	3792
196	2456	3778
197	2472	3770
198	2485	3759
199	2497	3746
200	2506	3728
201	2516	3713
202	2530	3702
203	2542	3688
204	2553	3675
205	2568	3666
206	2580	3653
207	2591	3638
208	2600	3620
209	2611	3606
210	2624	3594
211	2636	3581
212	2647	3567
213	2660	3556
214	2675	3546
215	2687	3533
216	2697	3518
217	2708	3503
218	2720	3490
219	2732	3477
220	2742	3462
221	2754	3449
222	2764	3434
223	2775	3420
224	2789	3409
225	2798	3393
226	2812	3382
227	2822	3366
228	2832	3351
229	2844	3339
230	2857	3327
231	2871	3316
232	2885	3306
233	2896	3292
234	2913	3284
235	2924	3271
236	2934	3255
237	2949	3246
238	2961	3234
239	2973	3220
240	2984	3207
241	2997	3195
242	3012	3185
243	3025	3174
244	3039	3163
245	3052	3151
246	3063	3138
247	3077	3126
248	3088	3113
249	3100	3100
250	3112	3087
251	3124	3074
252	3135	3061
253	3147	3048
254	3160	3036
255	3167	3019
256	3179	3006
257	3190	2992
258	3200	2978
259	3210	2963
260	3220	2949
261	3231	2935
262	3242	2921
263	3252	2907
264	3264	2895
265	3276	2882
266	3288	2869
267	3300	2857
268	3311	2843
269	3324	2832
270	3333	2816
271	3349	2808
272	3361	2795
273	3373	2782
274	3382	2767
275	3395	2756
276	3406	2742
277	3417	2729
278	3430	2717
279	3439	2702
280	3449	2688
281	3461	2676
282	3473	2663
283	3485	2650
284	3496	2638
285	3509	2625
286	3525	2616
287	3535	2602
288	3546	2589
289	3555	2574
290	3566	2561
291	3577	2548
292	3587	2534
293	3596	2519
294	3604	2504
295	3616	2492
296	3627	2479
297	3637	2465
298	3649	2453
299	3662	2441
300	3675	2429
301	3684	2415
302	3697	2403
