iter	RMSE
0	36.39077854
1	35.35416229
2	34.40189018
3	33.52218783
4	32.66702721
5	31.84429242
6	31.12022027
7	30.40503929
8	29.72118165
9	29.08702551
10	28.51936056
11	27.99183766
12	27.51807049
13	27.06333153
14	26.60817436
15	26.18927127
16	25.79268124
17	25.42973347
18	25.09764733
19	24.78757274
20	24.48530933
21	24.20073617
22	23.93250904
23	23.68417956
24	23.45376916
25	23.23427206
26	23.04115044
27	22.84596002
28	22.67845679
29	22.52475803
30	22.37743261
31	22.24136925
32	22.12142691
33	22.00854237
34	21.89609967
35	21.79623434
36	21.70145654
37	21.59525259
38	21.50570335
39	21.43030922
40	21.34968984
41	21.27336972
42	21.19644876
43	21.12608155
44	21.06277093
45	21.00584236
46	20.95543321
47	20.90795857
48	20.86358339
49	20.81476476
50	20.75926779
51	20.71733512
52	20.67019676
53	20.63841298
54	20.59869663
55	20.55269718
56	20.51900594
57	20.48232698
58	20.44599418
59	20.4123802
60	20.38763651
61	20.36406946
62	20.34271987
63	20.31553755
64	20.29946698
65	20.27634863
66	20.2543952
67	20.23697768
68	20.21931134
69	20.19664017
70	20.16896805
71	20.14327871
72	20.12780951
73	20.10590695
74	20.09279641
75	20.07880617
76	20.06185392
77	20.04756203
78	20.03428618
79	20.00825309
80	19.98809756
81	19.97147962
82	19.95435442
83	19.9400101
84	19.92512886
85	19.90461762
86	19.89565349
87	19.88073365
88	19.87108421
89	19.85052383
90	19.83865768
91	19.82785449
92	19.81207275
93	19.79056661
94	19.77314116
95	19.75932702
96	19.74111629
97	19.72757595
98	19.71797292
99	19.70597172
100	19.69800333
101	19.68420274
102	19.67350937
103	19.65985905
104	19.64167129
105	19.62919517
106	19.61276481
107	19.60513914
108	19.58856391
109	19.58577999
110	19.57479876
111	19.57097132
112	19.55764845
113	19.54491782
114	19.53402567
115	19.52502719
116	19.51596429
117	19.50366252
118	19.49251053
119	19.48183669
120	19.47067725
121	19.45645532
122	19.44691485
123	19.43762357
124	19.43647633
125	19.43200641
126	19.41688836
127	19.40445077
128	19.39143986
129	19.37556906
130	19.36786541
131	19.36326783
132	19.35564885
133	19.3448457
134	19.32881993
135	19.31896361
136	19.31423658
137	19.30287779
138	19.29129046
139	19.28254076
140	19.26954168
141	19.26300046
142	19.25417018
143	19.24202913
144	19.22969664
145	19.22000342
146	19.21170715
147	19.20225155
148	19.19943631
149	19.18695679
150	19.18052588
151	19.17446214
152	19.16110694
153	19.15340497
154	19.14939646
155	19.14003475
156	19.13258713
157	19.11852216
158	19.10627113
159	19.09414278
160	19.08792047
161	19.07665741
162	19.06840054
163	19.05789399
164	19.04914538
165	19.04055402
166	19.03103257
167	19.0163516
168	19.0106501
169	18.99954255
170	18.99713717
171	18.98488121
172	18.97735937
173	18.96998854
174	18.94987087
175	18.94105311
176	18.92535697
177	18.91717666
178	18.90684541
179	18.89170749
180	18.88378777
181	18.87696049
182	18.86675918
183	18.85237467
184	18.83462778
185	18.82044722
186	18.80923664
187	18.79846094
188	18.78382828
189	18.77303739
190	18.75974412
191	18.74399468
192	18.73403485
193	18.71883301
194	18.71137312
195	18.69591859
196	18.68406935
197	18.67280904
198	18.6643913
199	18.65077453
