iter	Passed	Remaining
0	2	412
1	3	321
2	4	287
3	5	262
4	6	246
5	7	234
6	8	226
7	9	218
8	10	214
9	11	216
10	12	214
11	13	209
12	14	204
13	15	200
14	16	197
15	17	196
16	18	194
17	19	193
18	20	190
19	20	188
20	21	187
21	22	183
22	23	181
23	24	178
24	25	175
25	25	172
26	26	169
27	27	167
28	28	165
29	28	163
30	29	160
31	30	158
32	30	156
33	31	154
34	32	152
35	32	150
36	33	147
37	34	146
38	35	144
39	35	142
40	36	141
41	37	139
42	37	138
43	38	136
44	39	134
45	39	133
46	40	131
47	41	130
48	41	128
49	42	127
50	43	126
51	43	124
52	44	123
53	44	121
54	45	120
55	46	118
56	46	117
57	47	115
58	47	114
59	48	113
60	48	111
61	49	110
62	50	109
63	50	107
64	51	106
65	51	105
66	52	104
67	53	102
68	53	101
69	54	100
70	54	99
71	55	98
72	55	96
73	56	95
74	56	94
75	57	93
76	57	92
77	58	91
78	58	90
79	59	89
80	60	88
81	60	87
82	61	86
83	61	85
84	62	83
85	62	82
86	63	82
87	63	81
88	64	79
89	64	79
90	65	78
91	65	77
92	66	76
93	66	75
94	66	74
95	67	73
96	67	72
97	68	71
98	68	70
99	69	69
100	69	68
101	69	67
102	70	66
103	70	65
104	71	64
105	71	63
106	72	62
107	72	61
108	73	60
109	73	60
110	73	59
111	74	58
112	74	57
113	75	56
114	75	55
115	75	54
116	76	54
117	76	53
118	77	52
119	77	51
120	78	50
121	78	50
122	78	49
123	79	48
124	79	47
125	80	47
126	80	46
127	81	45
128	81	45
129	82	44
130	82	43
131	83	42
132	83	42
133	84	41
134	84	40
135	85	40
136	86	39
137	86	38
138	86	38
139	87	37
140	88	36
141	88	36
142	89	35
143	89	34
144	90	34
145	90	33
146	91	32
147	91	32
148	91	31
149	92	30
150	92	30
151	93	29
152	93	28
153	93	28
154	94	27
155	94	26
156	95	26
157	95	25
158	96	24
159	96	24
160	96	23
161	97	22
162	97	22
163	98	21
164	98	20
165	99	20
166	99	19
167	100	19
168	100	18
169	101	17
170	101	17
171	102	16
172	102	16
173	103	15
174	103	14
175	104	14
176	105	13
177	105	13
178	106	12
179	106	11
180	107	11
181	107	10
182	108	10
183	108	9
184	109	8
185	109	8
186	110	7
187	110	7
188	111	6
189	111	5
190	112	5
191	112	4
192	112	4
193	113	3
194	113	2
195	114	2
196	114	1
197	115	1
198	115	0
199	116	0
