iter	Passed	Remaining
0	9	2761
1	12	1894
2	22	2192
3	31	2316
4	40	2411
5	50	2469
6	59	2502
7	69	2528
8	78	2533
9	87	2547
10	97	2554
11	106	2555
12	115	2555
13	125	2556
14	134	2556
15	143	2552
16	153	2549
17	162	2543
18	171	2537
19	181	2534
20	190	2532
21	199	2521
22	208	2510
23	217	2500
24	226	2489
25	234	2476
26	243	2463
27	252	2454
28	261	2443
29	270	2434
30	279	2425
31	288	2415
32	297	2404
33	305	2393
34	314	2384
35	323	2375
36	332	2364
37	341	2353
38	350	2342
39	358	2333
40	367	2323
41	376	2312
42	385	2302
43	393	2292
44	402	2282
45	411	2273
46	412	2221
47	421	2213
48	430	2204
49	439	2196
50	448	2188
51	456	2178
52	465	2169
53	474	2160
54	483	2152
55	491	2143
56	500	2134
57	509	2125
58	518	2117
59	527	2108
60	536	2100
61	544	2090
62	553	2081
63	555	2047
64	563	2038
65	572	2029
66	581	2021
67	590	2013
68	598	2005
69	607	1996
70	616	1987
71	625	1979
72	633	1970
73	642	1962
74	651	1954
75	660	1945
76	668	1936
77	677	1928
78	686	1920
79	695	1911
80	703	1903
81	712	1894
82	721	1886
83	730	1877
84	739	1869
85	747	1860
86	748	1833
87	757	1825
88	766	1816
89	775	1808
90	783	1800
91	792	1792
92	801	1783
93	809	1775
94	818	1766
95	827	1758
96	836	1750
97	845	1741
98	853	1733
99	862	1724
100	871	1717
101	880	1709
102	889	1701
103	898	1693
104	907	1684
105	916	1676
106	924	1668
107	933	1659
108	942	1650
109	950	1642
110	959	1633
111	968	1625
112	976	1616
113	985	1608
114	994	1600
115	1003	1591
116	1011	1582
117	1020	1573
118	1029	1565
119	1037	1556
120	1046	1547
121	1054	1538
122	1063	1530
123	1072	1522
124	1081	1513
125	1090	1505
126	1098	1496
127	1107	1488
128	1115	1479
129	1124	1470
130	1133	1462
131	1142	1453
132	1151	1445
133	1159	1436
134	1168	1427
135	1176	1419
136	1185	1410
137	1194	1402
138	1203	1393
139	1211	1385
140	1220	1376
141	1229	1367
142	1238	1359
143	1246	1350
144	1255	1342
145	1263	1333
146	1272	1324
147	1281	1315
148	1289	1307
149	1298	1298
150	1307	1290
151	1316	1281
152	1324	1272
153	1333	1264
154	1342	1255
155	1351	1247
156	1359	1238
157	1368	1229
158	1377	1221
159	1386	1212
160	1394	1204
161	1403	1195
162	1412	1186
163	1420	1178
164	1429	1169
165	1438	1160
166	1447	1152
167	1455	1143
168	1463	1134
169	1472	1126
170	1481	1117
171	1489	1108
172	1498	1100
173	1507	1091
174	1516	1083
175	1525	1074
176	1533	1065
177	1542	1057
178	1551	1048
179	1560	1040
180	1568	1031
181	1577	1022
182	1586	1014
183	1595	1005
184	1603	996
185	1612	988
186	1621	979
187	1629	971
188	1638	962
189	1647	953
190	1655	945
191	1664	936
192	1673	927
193	1681	918
194	1690	910
195	1699	901
196	1707	892
197	1716	884
198	1724	875
199	1733	866
200	1742	858
201	1750	849
202	1759	840
203	1768	832
204	1776	823
205	1785	814
206	1794	806
207	1802	797
208	1811	788
209	1820	780
210	1828	771
211	1837	762
212	1846	754
213	1855	745
214	1863	736
215	1872	728
216	1881	719
217	1889	710
218	1898	702
219	1907	693
220	1916	684
221	1924	676
222	1933	667
223	1942	658
224	1951	650
225	1959	641
226	1968	633
227	1977	624
228	1986	615
229	1994	607
230	2003	598
231	2011	589
232	2020	580
233	2028	572
234	2037	563
235	2046	554
236	2054	546
237	2063	537
238	2072	528
239	2080	520
240	2089	511
241	2098	502
242	2106	494
243	2115	485
244	2123	476
245	2132	468
246	2140	459
247	2149	450
248	2158	442
249	2166	433
250	2175	424
251	2184	416
252	2192	407
253	2201	398
254	2209	389
255	2218	381
256	2226	372
257	2235	363
258	2244	355
259	2252	346
260	2261	337
261	2269	329
262	2278	320
263	2287	311
264	2295	303
265	2304	294
266	2313	285
267	2321	277
268	2330	268
269	2338	259
270	2347	251
271	2356	242
272	2364	233
273	2374	225
274	2382	216
275	2391	207
276	2399	199
277	2408	190
278	2417	181
279	2426	173
280	2434	164
281	2443	155
282	2452	147
283	2461	138
284	2469	129
285	2478	121
286	2486	112
287	2495	103
288	2504	95
289	2512	86
290	2521	77
291	2529	69
292	2538	60
293	2547	51
294	2556	43
295	2564	34
296	2573	25
297	2582	17
298	2591	8
299	2599	0
